premise,hypothesis,label,triplet_nr,measure_1,range_bin,triplet_avg_measure_1
People standing in line at a Pizza Pizza place.,People standing in line for food.,0,80911,0.41524744446052797,2,0.4663784342891
People standing in line at a Pizza Pizza place.,People standing in line at a Pizza Pizza place take out.,1,80911,0.8295680323692125,5,0.4663784342891
People standing in line at a Pizza Pizza place.,People driving through a Taco bell drive-trhu.,2,80911,0.15431982603755956,1,0.4663784342891
"A young woman in black is standing in front of a wall with writing, she is holding something in her right hand.",A woman is looking for something on a wall.,1,70475,0.2476919128600326,1,0.4574688195469325
"A young woman in black is standing in front of a wall with writing, she is holding something in her right hand.",A young woman in black is writing something on a wall dictated from the book she is holding.,0,70475,0.5005665250762277,3,0.4574688195469325
"A young woman in black is standing in front of a wall with writing, she is holding something in her right hand.",A young woman in black is performing a ritual incantation out of something she is holding in her right hand.,2,70475,0.6241480207045372,4,0.4574688195469325
A man in a black t-shirt is standing in front of a book shelf.,There is a man inside.,0,91943,0.23875269516021713,1,0.4493252743593669
A man in a black t-shirt is standing in front of a book shelf.,The man is sitting in front of a book shelf.,2,91943,0.6280271306747532,4,0.4493252743593669
A man in a black t-shirt is standing in front of a book shelf.,The man in the black t-shirt is looking for a book.,1,91943,0.4811959972431302,3,0.4493252743593669
A woman on her cellphone is walking in a park.,A woman is walking in a park.,0,70103,0.6905916960350802,4,0.44231457564111865
A woman on her cellphone is walking in a park.,A woman is talking to her son on her cellphone.,1,70103,0.5176432014933231,3,0.44231457564111865
A woman on her cellphone is walking in a park.,A man is running at the track while listening to music.,2,70103,0.11870882939495261,0,0.44231457564111865
Dirt bike racer in the air with one hand on the dirt bike and body in air.,The trick the racer is doing and hopefully is completed correctly.,1,80712,0.1977422756967141,1,0.44174949046717216
Dirt bike racer in the air with one hand on the dirt bike and body in air.,Dirt bike racer is doing a trick.,0,80712,0.2414643951370464,1,0.44174949046717216
Dirt bike racer in the air with one hand on the dirt bike and body in air.,Dirt bike racer in the air with one hand on the dirt bike and foot in air.,2,80712,0.8860418005677559,6,0.44174949046717216
A man climbing an icy glacier with the assistance of a pick.,The man is climbing with the help of a pick.,1,86293,0.5515385957650227,3,0.4300569603201896
A man climbing an icy glacier with the assistance of a pick.,There is a man in shorts climbing a rocky cliff in the desert.,2,86293,0.2192216772921802,1,0.4300569603201896
A man climbing an icy glacier with the assistance of a pick.,A man is climbing an icy glacier.,0,86293,0.5194106079033659,3,0.4300569603201896
five young girls in matching dance outfits posing for a picture.,Young girls are posing for a picture.,0,180728,0.5194106079033659,3,0.4277919016172708
five young girls in matching dance outfits posing for a picture.,Young girls are playing outside.,2,180728,0.1873473686547194,1,0.4277919016172708
five young girls in matching dance outfits posing for a picture.,Young girls in dance outfits pose for a picture before a recital.,1,180728,0.576617728293727,4,0.4277919016172708
A man in a red shirt works on a machine on top of a metal ladder.,Man in a blue shirt breaks a machine.,2,78103,0.35642764095276214,2,0.42124128409334416
A man in a red shirt works on a machine on top of a metal ladder.,Man in a red shirt works on a machine.,0,78103,0.7012478641317981,4,0.42124128409334416
A man in a red shirt works on a machine on top of a metal ladder.,A man is fixing a broken machine.,1,78103,0.20604834719547233,1,0.42124128409334416
A man is wearing an Alaska sweatshirt.,The man is wearing a sweatshirt.,0,2419,0.6321331938706274,4,0.41773497373499363
A man is wearing an Alaska sweatshirt.,The man bought the shirt in Alaska.,1,2419,0.2139056836965778,1,0.41773497373499363
A man is wearing an Alaska sweatshirt.,The man is not wearing a shirt.,2,2419,0.4071660436377757,2,0.41773497373499363
Three men competing in a hurdle race.,men are running in a race,1,19319,0.39234904339037746,2,0.41682159917494754
Three men competing in a hurdle race.,men competing in a race,0,19319,0.6587189066425095,4,0.41682159917494754
Three men competing in a hurdle race.,three men are playing football,2,19319,0.19939684749195552,1,0.41682159917494754
A woman with short hair is working in a flower garden.,A woman is planting marigolds in her flower garden.,1,56804,0.4684543565312783,3,0.414898910387989
A woman with short hair is working in a flower garden.,A woman is taking a bath.,2,56804,0.26704883862095996,1,0.414898910387989
A woman with short hair is working in a flower garden.,A short haired woman is in the garden.,0,56804,0.5091935360117286,3,0.414898910387989
A man in a blue jacket sits on a wooden bench posed for the camera in front of a beautiful scene of smooth water and trees for the shoreline.,A man in a warm blue jacket sits on a wooden bench posed for the camera.,1,171640,0.5900474276379094,4,0.41454484825069454
A man in a blue jacket sits on a wooden bench posed for the camera in front of a beautiful scene of smooth water and trees for the shoreline.,A man gets his picture taken in front of a shoreline,0,171640,0.2389695230941583,1,0.41454484825069454
A man in a blue jacket sits on a wooden bench posed for the camera in front of a beautiful scene of smooth water and trees for the shoreline.,A man in a blue jacket posing for the camera.,1,171640,0.41461759402001586,2,0.41454484825069454
A child who has just crossed a bridge with his bike.,A child crossed an outdoor bridge with his bike.,0,8989,0.5895426228090204,4,0.4142326655398399
A child who has just crossed a bridge with his bike.,A child rode in a car across a bridge.,2,8989,0.22390568369657782,1,0.4142326655398399
A child who has just crossed a bridge with his bike.,A child rode his bike across a bridge.,1,8989,0.4292496901139215,3,0.4142326655398399
Person with a backpack in a field,The person is sitting,1,158686,0.11761047858458407,0,0.4140817338921128
Person with a backpack in a field,a person in the field with his backpack is preparing a picnic,1,158686,0.5591681958877935,3,0.4140817338921128
Person with a backpack in a field,A person with a backpack swimming in a pond.,2,158686,0.5654665272039607,3,0.4140817338921128
Two healthy horses play in a field.,Two horses are running in the field.,0,25753,0.45283453058952333,3,0.4136705842412229
Two healthy horses play in a field.,Two horses are running in a field outside.,0,25753,0.5073799851349778,3,0.4136705842412229
Two healthy horses play in a field.,A herd of horses in the corral.,2,25753,0.28079723699916737,1,0.4136705842412229
Outdoor market selling fruit and vegetables.,Fruit and vegetables cannot be sold outside.,2,2492,0.3216502967501974,2,0.4123332305445615
Outdoor market selling fruit and vegetables.,Fruit and vegetable are very popular in outdoor market selling.,1,2492,0.4963336848264429,3,0.4123332305445615
Outdoor market selling fruit and vegetables.,Fruit and vegetables sold outside.,0,2492,0.4190157100570442,2,0.4123332305445615
A person is riding a green motorcycle.,The woman is riding a blue bicycle.,2,21772,0.3084877565828646,2,0.4121412057430833
A person is riding a green motorcycle.,Someone is riding a motorcycle.,0,21772,0.5790596077241925,4,0.4121412057430833
A person is riding a green motorcycle.,The man is riding his motorcycle on a country road.,1,21772,0.34887625292219293,2,0.4121412057430833
Zoey Dashnell walks towards a microphone carrying a tambourine.,Zoey Dashnell is fishing from a dock.,2,108808,0.2583881512644299,1,0.412084021548033
Zoey Dashnell walks towards a microphone carrying a tambourine.,Zoey Dashnell is about to perform.,1,108808,0.2122343051105837,1,0.412084021548033
Zoey Dashnell walks towards a microphone carrying a tambourine.,Zoey Dashnell walks towards a microphone.,0,108808,0.7656296082690852,5,0.412084021548033
People in colorful costumes and masks.,People in masks.,0,97472,0.5747526114722091,4,0.41050184101775583
People in colorful costumes and masks.,People asleep.,2,97472,0.22031443135733847,1,0.41050184101775583
People in colorful costumes and masks.,People in masks in the rain.,1,97472,0.4364384802237199,3,0.41050184101775583
A man rests on a bench on a street.,A man is kicking a bench until it bleeds.,2,164042,0.2623715701948334,1,0.400900376603178
A man rests on a bench on a street.,A man is on a bench.,0,164042,0.6023960433627846,4,0.400900376603178
A man rests on a bench on a street.,A man is resting on a bench after a long day at work.,1,164042,0.3379335162519159,2,0.400900376603178
Three men move across construction rafters on a building.,Three men are helping to construct an office building.,1,78360,0.23677352680455882,1,0.3943115723106077
Three men move across construction rafters on a building.,Three men move across rafters.,0,78360,0.6305916960350801,4,0.3943115723106077
Three men move across construction rafters on a building.,Three men are helping to construct an office building.,1,78360,0.23677352680455882,1,0.3943115723106077
Three men move across construction rafters on a building.,Three men walk across a bridge over a stream.,2,78360,0.3155694940921841,2,0.3943115723106077
Three men move across construction rafters on a building.,Three men walk across a bridge over a stream.,2,78360,0.3155694940921841,2,0.3943115723106077
Three men move across construction rafters on a building.,Three men move across rafters.,0,78360,0.6305916960350801,4,0.3943115723106077
An elderly man is looking a loose brick blocks and holding a pole.,An elderly man is holding a pole and looking at loose bricks.,0,49629,0.7179780176079467,5,0.39380342742012836
An elderly man is looking a loose brick blocks and holding a pole.,The pole is being held by a man.,0,49629,0.2602875497581346,1,0.39380342742012836
An elderly man is looking a loose brick blocks and holding a pole.,The pole is being held by a man that is getting ready to go fishing.,1,49629,0.20314471489430386,1,0.39380342742012836
An elderly hispanic woman wears a blue vest in front of a pile of boxes.,A young man is standing in front of some boxes.,2,38866,0.30190693764827947,2,0.3918831345830265
An elderly hispanic woman wears a blue vest in front of a pile of boxes.,A lady in a vest is standing among boxes.,0,38866,0.23699875014000638,1,0.3918831345830265
An elderly hispanic woman wears a blue vest in front of a pile of boxes.,An elderly woman is standing in front of a pile of boxes.,0,38866,0.6367437159607936,4,0.3918831345830265
A man holding a little girl hand bends over and points something to her.,a man holding a little girl points something out.,0,47783,0.5211377081837053,3,0.3916688367400703
A man holding a little girl hand bends over and points something to her.,A man stands next to his daughter while pointing something out.,2,47783,0.20703303883298765,1,0.3916688367400703
A man holding a little girl hand bends over and points something to her.,A man holding his daughter points something out to her.,1,47783,0.4468357632035181,3,0.3916688367400703
Four men sit on a church's steps.,Men sit on the church steps waiting on the preacher.,1,69715,0.5039514220932729,3,0.391222588773148
Four men sit on a church's steps.,A small group of men sit on the steps.,0,69715,0.44140589895012444,3,0.391222588773148
Four men sit on a church's steps.,A group of women wait on the store steps.,2,69715,0.2283104452760466,1,0.391222588773148
An old man sitting on a bus holding a briefcase.,A woman holds a baby on a boat.,2,49923,0.16338921574144544,1,0.3868214755146154
An old man sitting on a bus holding a briefcase.,A man holds a briefcase on a bus.,0,49923,0.5170050098716048,3,0.3868214755146154
An old man sitting on a bus holding a briefcase.,An old man in a black suit holds a brown briefcase on a crowded bus.,1,49923,0.480070200930796,3,0.3868214755146154
Two modern buildings made of glass and stone accent the setting.,Two modern buildings are on fire.,2,2530,0.2526282104491892,1,0.383119124547987
Two modern buildings made of glass and stone accent the setting.,Two buildings made of glass and stone overlook the beach,1,2530,0.5909080462558889,4,0.383119124547987
Two modern buildings made of glass and stone accent the setting.,The two buildings are post-modern.,2,2530,0.30582111693888303,2,0.383119124547987
A child playing with his building toys.,A boy is playing.,0,119918,0.23451053657563456,1,0.3827907235446694
A child playing with his building toys.,An adult is building with toys.,2,119918,0.35262058909232114,2,0.3827907235446694
A child playing with his building toys.,A child plays with his toys outside.,1,119918,0.5612410449660525,3,0.3827907235446694
A busy street with two men holding blue bags.,Some people are on a street.,0,78354,0.16338921574144544,1,0.38150687599962757
A busy street with two men holding blue bags.,A busy street with two men holding blue bags and a mime performing nearby.,-1,78354,0.7122903352139381,4,0.38150687599962757
A busy street with two men holding blue bags.,Two men are filling up their blue bags with cash from the safe after tying up the guards.,2,78354,0.2688410770434992,1,0.38150687599962757
a man in a blue shirt sitting on a blue seat.,A man in blue is sitting.,0,87591,0.587571017909027,4,0.380219148541937
a man in a blue shirt sitting on a blue seat.,A man is sitting on a bus.,1,87591,0.3836857643177693,2,0.380219148541937
a man in a blue shirt sitting on a blue seat.,A man stands and wears yellow.,2,87591,0.16940066339901477,1,0.380219148541937
A horse rider jumping a jump.,There is a horse rider jumping.,0,103485,0.5790596077241925,4,0.37900229632078486
A horse rider jumping a jump.,The horse rider is walking the horse.,2,103485,0.3198320210134302,2,0.37900229632078486
A horse rider jumping a jump.,The horse rider is practicing for his show.,1,103485,0.2381152602247319,1,0.37900229632078486
A dog swims through water.,A dog swims in the pool.,1,117732,0.38315443409214256,2,0.37834996756906963
A dog swims through water.,A cat walks near a street.,2,117732,0.12,0,0.37834996756906963
A dog swims through water.,A dog swims.,0,117732,0.6318954686150663,4,0.37834996756906963
The woman is looking closely at shoes she likes.,A woman looking at a pair of shoes she likes in a store.,1,32397,0.4663956388492442,3,0.3771514236474505
The woman is looking closely at shoes she likes.,A woman looking at some fresh icecream.,2,32397,0.27565083985107636,1,0.3771514236474505
The woman is looking closely at shoes she likes.,A woman looking at an expensive pair of shoes that she likes in a store.,1,32397,0.38940779224203115,2,0.3771514236474505
Dark colored dog leaping down a path.,A large black dog leaping down a path.,1,116363,0.5612410449660525,3,0.3768862838306939
Dark colored dog leaping down a path.,A dog is leaping.,0,116363,0.39418027536817835,2,0.3768862838306939
Dark colored dog leaping down a path.,A dog is laying in the grass.,2,116363,0.1752375311578508,1,0.3768862838306939
A man blowing a large bubble.,He is blowing a bubble with chewing gum.,1,90760,0.3133430560351231,2,0.37642482626239726
A man blowing a large bubble.,A man is blowing a bubble.,0,90760,0.6697613549866515,4,0.37642482626239726
A man blowing a large bubble.,The man is spitting on the ground.,2,90760,0.1461700677654173,1,0.37642482626239726
a skateboarder jumps into the air.,a skateboarder leaps into the air,0,100578,0.6427675406906594,4,0.3763882097184614
a skateboarder jumps into the air.,a skateboarder is doing a stunt on the skateboard,1,100578,0.23245478642731443,1,0.3763882097184614
a skateboarder jumps into the air.,a skateboarder is walking on the street,2,100578,0.25394230203741003,1,0.3763882097184614
"A little kid is soaking wet, posing in the street, while a couple walks behind him in front of a red building.",A child is posing.,0,72872,0.17290736261309175,1,0.37556845734750044
"A little kid is soaking wet, posing in the street, while a couple walks behind him in front of a red building.",the girl is asleep,2,72872,0.10433380104672936,0,0.37556845734750044
"A little kid is soaking wet, posing in the street, while a couple walks behind him in front of a red building.",The little kid is soaking wet posing in the street while a couple walks behind him in fron of a red building,0,72872,0.8494642083826802,5,0.37556845734750044
Man in scottish garb in a parade,The mayor of Dunkirk leads a parade,1,14753,0.14058875047328712,0,0.37309474325947595
Man in scottish garb in a parade,A man in Nigerian dress stands alone in his home.,2,14753,0.28585351120465097,2,0.37309474325947595
Man in scottish garb in a parade,A man in a parade,0,14753,0.6928419681004896,4,0.37309474325947595
A man is bending down to look at something on the sidewalk.,A woman is looking into store windows along the sidewalk,2,88027,0.19812485279335978,1,0.372986883715053
A man is bending down to look at something on the sidewalk.,A man bends down to see something on a sidewalk.,0,88027,0.5109438256086867,3,0.372986883715053
A man is bending down to look at something on the sidewalk.,A man runs down the sidewalk to catch a bus.,2,88027,0.4098919727431125,2,0.372986883715053
Two light bulbs are hanging in front of a woman's face.,light bulbs in front of a woman who is being interrigated,1,145359,0.4197041911177124,2,0.37188167017614715
Two light bulbs are hanging in front of a woman's face.,light bulbs in front of a woman,0,145359,0.5858660914901593,4,0.37188167017614715
Two light bulbs are hanging in front of a woman's face.,a woman holding a scruffy cat,2,145359,0.11007472792056977,0,0.37188167017614715
A woman in a pink scarf is on a cellphone.,A woman talks on the phone.,0,117623,0.2824547864273144,1,0.3718645655328854
A woman in a pink scarf is on a cellphone.,A woman is talking to her husband.,1,117623,0.2583881512644299,1,0.3718645655328854
A woman in a pink scarf is on a cellphone.,Talking on the cellphone is a woman who is wearing a scarf that is pink.,0,117623,0.5747507589069117,4,0.3718645655328854
A black dog runs with a ball in its mouth.,The black dog has prescription glasses on.,2,121502,0.18237157019483344,1,0.3715382166234666
A black dog runs with a ball in its mouth.,A brown dog is running with a ball in its mouth.,2,121502,0.5895426228090204,4,0.3715382166234666
A black dog runs with a ball in its mouth.,A dog is playing fetch with a ball.,1,121502,0.34270045686654593,2,0.3715382166234666
Four men are playing instruments on stage.,Four men playing a gig,1,110282,0.34294104171542694,2,0.3706752661465791
Four men are playing instruments on stage.,Four men drinking beer,2,110282,0.21516123785330493,1,0.3706752661465791
Four men are playing instruments on stage.,Four men playing instruments,0,110282,0.5539235188710053,3,0.3706752661465791
A man in a black shirt is making a video recording of another man in a black shirt.,a man is recording another man running,1,12789,0.38519309300292004,2,0.3705470668296691
A man in a black shirt is making a video recording of another man in a black shirt.,a man is recording himself,2,12789,0.3015880344544102,2,0.3705470668296691
A man in a black shirt is making a video recording of another man in a black shirt.,a man is recording another man,0,12789,0.42486007303167717,2,0.3705470668296691
Two man riding horses trying to catch a cow.,Two cowboys on horseback are trying to catch a cow in a field.,1,179207,0.4098919727431125,2,0.3678036410841003
Two man riding horses trying to catch a cow.,There are two humans and three animals.,0,179207,0.10397632770016793,0,0.3678036410841003
Two man riding horses trying to catch a cow.,Two man riding dogs are trying to catch a a bus.,2,179207,0.5895426228090204,4,0.3678036410841003
A baseball player in white is swinging at the ball.,A baseball player sits on the bench and waits for his turn to bat.,2,87765,0.2081350878840267,1,0.36667574912014084
A baseball player in white is swinging at the ball.,A baseball player takes a swing at the ball.,0,87765,0.5091935360117286,3,0.36667574912014084
A baseball player in white is swinging at the ball.,A baseball player takes a swing and the ball in an important game.,1,87765,0.3826986234646672,2,0.36667574912014084
Some people are standing on the fire escape of their building looking over at some black smoke in the distance.,The people are practicing in case of a fire.,1,30978,0.3337227468629626,2,0.36662160589748544
Some people are standing on the fire escape of their building looking over at some black smoke in the distance.,There are some people standing on the fire escape of their building.,0,30978,0.6200016951300695,4,0.36662160589748544
Some people are standing on the fire escape of their building looking over at some black smoke in the distance.,There is one person standing on a fire hydrant.,2,30978,0.14614037569942417,1,0.36662160589748544
A rollerblader in a red hat is grinding on an elevated metal pole.,A rollerblader is grinding.,0,108163,0.3905450314821751,2,0.36501380428861646
A rollerblader in a red hat is grinding on an elevated metal pole.,A rollerblader is sleeping.,2,108163,0.26165052031130875,1,0.36501380428861646
A rollerblader in a red hat is grinding on an elevated metal pole.,A rollerblader is grinding on a pole of sorts.,1,108163,0.44284586107236557,3,0.36501380428861646
A group of people are swimming in a river or small body of water.,A group are trying to cool off.,1,49562,0.19132324578316223,1,0.3644169689107968
A group of people are swimming in a river or small body of water.,A group are swimming in a river.,0,49562,0.5104845662293572,3,0.3644169689107968
A group of people are swimming in a river or small body of water.,A group are sleeping in a river.,2,49562,0.39144309471987077,2,0.3644169689107968
A man wearing a gray sweatshirt play electric guitar and a man in a black sleeveless shirt drums while a crowd of people watches from behind them.,The two men were watching tv,2,140123,0.0,0,0.3629165519108522
A man wearing a gray sweatshirt play electric guitar and a man in a black sleeveless shirt drums while a crowd of people watches from behind them.,A man wearing a gray sweatshirt play electric guitar and a man in a black sleeveless shirt drums while a crowd of people watches from behind them.,0,140123,1.0000000000000004,6,0.3629165519108522
A man wearing a gray sweatshirt play electric guitar and a man in a black sleeveless shirt drums while a crowd of people watches from behind them.,There two men were like a band of two people,1,140123,0.08874965573255625,0,0.3629165519108522
Three men are sitting down laughing.,The men are sitting and laughing.,0,101620,0.5345743782993859,3,0.3610767491191406
Three men are sitting down laughing.,The zombies are laughing.,2,101620,0.30422226842250494,2,0.3610767491191406
Three men are sitting down laughing.,The good friends are all laughing.,1,101620,0.244433600635531,1,0.3610767491191406
"Man putting on pants with ""Artisti"" sign on the door.",The man is putting on pants.,0,103020,0.5048061605451343,3,0.36068787927247525
"Man putting on pants with ""Artisti"" sign on the door.",The man is putting on socks.,2,103020,0.38694304591495304,2,0.36068787927247525
"Man putting on pants with ""Artisti"" sign on the door.",The man is putting on socks.,2,103020,0.38694304591495304,2,0.36068787927247525
"Man putting on pants with ""Artisti"" sign on the door.",The man is a model.,1,103020,0.19031443135733847,1,0.36068787927247525
"Man putting on pants with ""Artisti"" sign on the door.",The man is putting on pants.,0,103020,0.5048061605451343,3,0.36068787927247525
"Man putting on pants with ""Artisti"" sign on the door.",The man is a model.,1,103020,0.19031443135733847,1,0.36068787927247525
People admiring paintings on the street.,People look at paintings on the street.,0,42109,0.6531161833471978,4,0.3592120019705572
People admiring paintings on the street.,People are in awe of the latest Banksy street art.,1,42109,0.26934269612239226,1,0.3592120019705572
People admiring paintings on the street.,A man reads the newspaper.,2,42109,0.15517712644208156,1,0.3592120019705572
A girl in green pants sits on the railing with another girl as they watch the fountain in the city.,A girl sits on the railing with another watching the fountain,0,144704,0.5497320705218857,3,0.35908955919300317
A girl in green pants sits on the railing with another girl as they watch the fountain in the city.,A girl sits with her sister and watches the fountain,1,144704,0.3094264643981478,2,0.35908955919300317
A girl in green pants sits on the railing with another girl as they watch the fountain in the city.,A boy sits and watches the fountain,2,144704,0.218110142658976,1,0.35908955919300317
a boy in a white t-shirt is playing on a swing that is attached to a tree.,There is a boy in a blue shirt swinging on a tree.,2,176123,0.4108899687902883,2,0.3580807749949649
a boy in a white t-shirt is playing on a swing that is attached to a tree.,The boy is trying to swing as high as possible.,1,176123,0.252013351991367,1,0.3580807749949649
a boy in a white t-shirt is playing on a swing that is attached to a tree.,There is a boy on a swing.,0,176123,0.41133900420323943,2,0.3580807749949649
A man in white shirt is reading while waiting on train.,A man is reading on the train.,0,24532,0.5194106079033659,3,0.35597713805394315
A man in white shirt is reading while waiting on train.,A man is reading comic books on the amtrak.,1,24532,0.3414877674254759,2,0.35597713805394315
A man in white shirt is reading while waiting on train.,A man is playing a game on his iPad during the long car ride.,2,24532,0.20703303883298765,1,0.35597713805394315
A mom is on the carousel helping her son get on the horse.,A mom beating up her kid.,2,175972,0.21218151026079585,1,0.355150747230945
A mom is on the carousel helping her son get on the horse.,A mom helping her son.,0,175972,0.4519913446364032,3,0.355150747230945
A mom is on the carousel helping her son get on the horse.,A mom helping her disabled son.,1,175972,0.40127938679563585,2,0.355150747230945
A woman is playing an instrument in a bus station.,The woman played her violin to entertain the passengers waiting.,1,28091,0.08845588886056585,0,0.354624267019139
A woman is playing an instrument in a bus station.,There is a woman playing an instrument.,0,28091,0.6109139251860297,4,0.354624267019139
A woman is playing an instrument in a bus station.,The woman was playing her instrument at a train station.,2,28091,0.3645029870108215,2,0.354624267019139
A young boy wearing swimming trunks is walking across rocks next to a beach.,A young boy in swimming trunks is crossing rocks to get to the beach.,0,127370,0.5409870106444903,3,0.35332908351185904
A young boy wearing swimming trunks is walking across rocks next to a beach.,A young boy walks with his family to the beach,1,127370,0.2544143914310609,1,0.35332908351185904
A young boy wearing swimming trunks is walking across rocks next to a beach.,A young boy is by the water.,0,127370,0.26458584846002603,1,0.35332908351185904
People stand in front of a black wooden contraption.,People jump up and down on a red metalcontraption.,2,145381,0.13285957201836346,0,0.35227291638306085
People stand in front of a black wooden contraption.,People are standing.,0,145381,0.14668709418413117,1,0.35227291638306085
People stand in front of a black wooden contraption.,People stand 10 feet in front of a black wooden contraption,1,145381,0.7772720829466879,5,0.35227291638306085
A man and a woman read books by stone structures.,A man and woman read some books.,0,180476,0.6109139251860297,4,0.35220417376956753
A man and a woman read books by stone structures.,A man runs his first marathon on a treadmill.,2,180476,0.14147632770016794,0,0.35220417376956753
A man and a woman read books by stone structures.,A couple sit together by a statue of the president and read their books.,1,180476,0.30422226842250494,2,0.35220417376956753
a taxi cab with a mama mia ad on top of it,A car has a sign attached to it.,0,22801,0.0985772526613501,0,0.35188156019836025
a taxi cab with a mama mia ad on top of it,There is a car with advertisements on it,0,22801,0.24860005372236393,1,0.35188156019836025
a taxi cab with a mama mia ad on top of it,A NYC taxi cab with a mama mia ad on top.,1,22801,0.7084673742113667,4,0.35188156019836025
A woman in a green shirt running a race.,A woman competing in a running race.,0,43819,0.6321331938706274,4,0.3509749060090246
A woman in a green shirt running a race.,A woman is competing in an athletic event.,0,43819,0.2583881512644299,1,0.3509749060090246
A woman in a green shirt running a race.,The women is running away from a cow.,2,43819,0.16240337289201665,1,0.3509749060090246
A man sits next to a shiny metal sign.,The man sits next to the stop sign.,1,30278,0.500593105876306,3,0.35068230593116195
A man sits next to a shiny metal sign.,The man stands next to the sign.,2,30278,0.40905695937680686,2,0.35068230593116195
A man sits next to a shiny metal sign.,The man is outdoors.,0,30278,0.142396852540373,0,0.35068230593116195
A man is using a chainsaw to carve a wooden sculpture.,A man is carving a wooden sculpture.,0,142541,0.5170050098716048,3,0.3502274573913707
A man is using a chainsaw to carve a wooden sculpture.,The man is making sculptures to sell.,1,142541,0.27271235123504123,1,0.3502274573913707
A man is using a chainsaw to carve a wooden sculpture.,The man is taking a bath.,2,142541,0.26096501106746606,1,0.3502274573913707
"Two dogs on wet sand, each biting the same stick.",Two dogs on the sand.,0,28599,0.5318954686150663,3,0.34924123933423595
"Two dogs on wet sand, each biting the same stick.",Two dogs play at the beach.,1,28599,0.25791412469382086,1,0.34924123933423595
"Two dogs on wet sand, each biting the same stick.",Two dogs play in the dirt.,2,28599,0.25791412469382086,1,0.34924123933423595
"A white dog with a brown patch on his eye, is running on a dirt path.",A dog is playing fetch with his owner on the dirt path.,1,81918,0.4701475040255034,3,0.3481812732031843
"A white dog with a brown patch on his eye, is running on a dirt path.",A white dog is running down the path.,0,81918,0.3814236566766713,2,0.3481812732031843
"A white dog with a brown patch on his eye, is running on a dirt path.",A pet is homw with his owner sleeping by the fireplace.,2,81918,0.19297265890737814,1,0.3481812732031843
Two female soldiers in uniform sit behind a desk while reading and sorting through piles of papers.,"Two female soldiers are on guard duty for the platoon, out by the main gate.",2,19191,0.12047143942987373,0,0.3463620760945944
