premise,hypothesis,label,triplet_nr
A light blue car stopped outside with all its doors open.,A car has been jacked and left abandoned.,1,712
A light blue car stopped outside with all its doors open.,A car is in a race.,2,712
A light blue car stopped outside with all its doors open.,A car is parked with all of its doors open.,0,712
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A woman is looking at a mural inside of a museum.,2,737
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A person is walking in front of an outdoor portrait of a man.,0,737
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A man walks behind a wall mural.,2,737
This wall has a picture of a man on it.,There is a wall and it has a picture on it.,0,740
This wall has a picture of a man on it.,There is a wall with a painting on it.,1,740
This wall has a picture of a man on it.,There is a bare wall.,2,740
A little girl dressed in pink and white is walking.,The girl is being blown away by the wind.,2,799
A little girl dressed in pink and white is walking.,A girl is wearing pink and white.,0,799
A little girl dressed in pink and white is walking.,The girl has a handbasket.,1,799
A baseball player is holding a bat.,The person has a piece of athletic equipment.,0,824
A baseball player is holding a bat.,The man will hit a ball.,1,824
A baseball player is holding a bat.,An athlete is playing piano.,2,824
Four women participating in an ice-skating race.,Some humans participating.,0,832
Four women participating in an ice-skating race.,Huge humans participating.,2,832
Four women participating in an ice-skating race.,No humans participating,1,832
two dogs playing,The two dogs are sleeping under the porch of the house.,2,856
two dogs playing,There are two animals in this picture.,0,856
two dogs playing,"The two dogs are chasing a frisbee across the field, thrown over and over by their owner.",1,856
Two small dogs run across the green grass.,Three cats are sleeping.,2,860
Two small dogs run across the green grass.,The dogs fall asleep near the cats.,2,860
Two small dogs run across the green grass.,Two dogs are outside.,0,860
"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",The people are all nude.,2,933
"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",People are walking on a street.,0,933
"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",The lady is ravishing.,1,933
A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are not wearing hats,2,966
A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are wearing hats,0,966
A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are joyously wearing hats,1,966
Two people are outside walking through the snow.,The snow is thick.,1,969
Two people are outside walking through the snow.,The people are inside.,2,969
Two people are outside walking through the snow.,There are people.,0,969
A young woman is drawing with a Sharpie marker.,A young women is drawing in art class.,1,976
A young woman is drawing with a Sharpie marker.,she i using a black sharpie,1,976
A young woman is drawing with a Sharpie marker.,An art student is performing a sketch of the field in Sharpie marker,1,976
A baseball player hits baseball.,The player swings his bat.,0,986
A baseball player hits baseball.,The player hit a home run.,1,986
A baseball player hits baseball.,The player is throwing the football.,2,986
A girl with dark hair swings on a hanging log.,The girl has red hair.,2,1026
A girl with dark hair swings on a hanging log.,A girl is swinging.,0,1026
A girl with dark hair swings on a hanging log.,The log is hanging from a rope.,1,1026
A baby in jeans and a winter jacket sits on top of a blue slide.,A baby on a playground slide outside,1,1032
A baby in jeans and a winter jacket sits on top of a blue slide.,A man sitting on a couch asleep,2,1032
A baby in jeans and a winter jacket sits on top of a blue slide.,A baby sitting on top of a slide,0,1032
A woman in a flower shirt is working on a piece of pottery.,The flowers on her shirt are red,1,1033
A woman in a flower shirt is working on a piece of pottery.,She wears a decorated shirt,0,1033
A woman in a flower shirt is working on a piece of pottery.,He eats the pottery,2,1033
A young child learning how to swim.,A woman eats a sundae.,2,1040
A young child learning how to swim.,A man teaches his son to swim.,1,1040
A young child learning how to swim.,A child learns to swim.,0,1040
Three people sit and talk about the menu at a chinese restaurant.,A puppy is sitting.,2,1090
Three people sit and talk about the menu at a chinese restaurant.,A family is getting ready to order.,1,1090
Three people sit and talk about the menu at a chinese restaurant.,People are conversing.,0,1090
Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a clay sculpture.,2,1092
Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a mural.,0,1092
Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a mural of flowers.,1,1092
An older man with glasses clasps his hands together as two seated individuals watch him.,Two men are playing basketball while a man is clasping his hands.,2,1093
An older man with glasses clasps his hands together as two seated individuals watch him.,A woman and a man is sitting and another is man is clasping his hand.,1,1093
An older man with glasses clasps his hands together as two seated individuals watch him.,There are three people there.,0,1093
"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs are walking outside,0,1120
"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs eating birds,2,1120
"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs on a walk and one has a leash,1,1120
A stewardess reviews safety procedures on a plane.,The lady is headed to Taiwan.,1,1150
A stewardess reviews safety procedures on a plane.,The woman is on a boat.,2,1150
A stewardess reviews safety procedures on a plane.,A stewardess is on a plane.,0,1150
Woman on airplane models a flotation device.,The woman is working as a stewardess.,1,1153
Woman on airplane models a flotation device.,The woman is demonstrating a floatation device on a boat.,2,1153
Woman on airplane models a flotation device.,The woman is inside an airplane.,0,1153
A man wearing sunglasses playing an acoustic guitar.,A man playing a slow song on a outside.,1,1168
A man wearing sunglasses playing an acoustic guitar.,A man playing an accordion for a crowd.,2,1168
A man wearing sunglasses playing an acoustic guitar.,A man standing outside.,0,1168
A woman window shops outside of a Louis Vuitton store.,The woman is wearing high heel shoes while window shopping.,1,1169
A woman window shops outside of a Louis Vuitton store.,The woman is standing outside the Dior store.,2,1169
A woman window shops outside of a Louis Vuitton store.,The woman is standing outside the shop's window.,0,1169
Young woman with scrabble shoes and white rimmed sunglasses talks and smiles on cellphone while opening package.,A young woman is talking on the phone with her mom as she opens her birthday present from her.,1,1267
Young woman with scrabble shoes and white rimmed sunglasses talks and smiles on cellphone while opening package.,A young woman is taking a nap in her bed.,2,1267
Young woman with scrabble shoes and white rimmed sunglasses talks and smiles on cellphone while opening package.,A person is talking on their phone.,0,1267
Band playing in front of a small crowd outside.,A band plays to a crowd of different ages outside.,1,1309
Band playing in front of a small crowd outside.,A concert is for charity.,1,1309
Band playing in front of a small crowd outside.,A band plays music outside.,0,1309
there are six dogs in the water,The pets are playing cards.,2,1327
there are six dogs in the water,There is a pack of dogs are drinking water.,1,1327
there are six dogs in the water,There are animal wading in the waters.,0,1327
a large group of dogs walking in a body of water.,A large group of dogs are swimming in deep water.,2,1329
a large group of dogs walking in a body of water.,Animals are walking around in some water.,0,1329
a large group of dogs walking in a body of water.,An owner walks his dogs in shallow water at the beach.,1,1329
A man is hooked to a zipline and stepped off the platform,A man celebrates his birthday with a trip ziplining.,1,1352
A man is hooked to a zipline and stepped off the platform,A man goes bungee jumping.,2,1352
A man is hooked to a zipline and stepped off the platform,A man goes ziplining.,0,1352
a little boy plays in the snow.,The boy is outside in winter,0,1356
a little boy plays in the snow.,The boy is dressed in a t-shirt and shorts,2,1356
a little boy plays in the snow.,The boy is making snowballs,1,1356
An aerial shot of a big crowd of people.,There is a picture of alligators,2,1361
An aerial shot of a big crowd of people.,There is a large group outside,0,1361
An aerial shot of a big crowd of people.,The people gather to watch the fight,1,1361
Man sitting in a beached canoe by a lake.,a woman is standing in the woods,2,1425
Man sitting in a beached canoe by a lake.,A man is sitting in a boat,0,1425
Man sitting in a beached canoe by a lake.,a man is sitting outside,1,1425
Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,Two workers take a break together.,1,1433
Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,Two people sit on a closed gate.,2,1433
Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,Two people in matching clothes sit together.,0,1433
"Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.",Tourists try to get a feel for their surroundings.,1,1450
"Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.",A couple of girl relax with some reading material.,0,1450
"Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.",Several female businessmen attempt to sell expensive products.,2,1450
And male and female duo perform on stage.,two people performing.,0,1456
And male and female duo perform on stage.,a man and woman performing surgery.,2,1456
And male and female duo perform on stage.,a man and woman performing on stage.,1,1456
A boy in a red shirt and blue jeans is playing with a flying toy in a field on a day with blue skies and puffy clouds.,A boy has a remote control airplane in the field by his house.,1,1459
A boy in a red shirt and blue jeans is playing with a flying toy in a field on a day with blue skies and puffy clouds.,A young person is playing with an object in the air.,0,1459
A boy in a red shirt and blue jeans is playing with a flying toy in a field on a day with blue skies and puffy clouds.,A boy is playing with a toy dumptruck on the street.,2,1459
A young fair-skinned boy rides a play horse at a playground.,There is a child playing at a playground.,0,1533
A young fair-skinned boy rides a play horse at a playground.,The boy is dark-skinned.,2,1533
A young fair-skinned boy rides a play horse at a playground.,A young boy rides a play horse at the playground,0,1533
A man flips his skateboard on a flat expanse of concrete.,The man is walking.,2,1560
A man flips his skateboard on a flat expanse of concrete.,A skateboarder doing tricks.,0,1560
A man flips his skateboard on a flat expanse of concrete.,A man rides a skateboard.,1,1560
The white dog is being squirted in the face with a jet of water.,The dog with a light-colored coat its muzzle wet with a stream of water.,0,1578
The white dog is being squirted in the face with a jet of water.,He is outside,1,1578
The white dog is being squirted in the face with a jet of water.,Water is shooting in the white dog's face.,0,1578
An wedding party poses for a picture.,Photograph in marriage ceremony,0,1582
An wedding party poses for a picture.,People takes photo in function,1,1582
An wedding party poses for a picture.,People gathered in office,2,1582
A curly redheaded girl with a large headband in her hair.,Blonde washing her hair,2,1606
A curly redheaded girl with a large headband in her hair.,Redhead wearing a headband,0,1606
A curly redheaded girl with a large headband in her hair.,Girl getting ready for movie shoot,1,1606
A small dog jumps up to play with a larger dog.,Two dogs are playing.,1,1618
A small dog jumps up to play with a larger dog.,There are no dogs playing.,2,1618
A small dog jumps up to play with a larger dog.,A small dog is jumping and playing with a larger dog.,0,1618
A barefoot woman reads a book along the water.,A woman just finished lacing up her shoes.,2,1631
A barefoot woman reads a book along the water.,A woman is by a lake with her shoes next to her.,1,1631
A barefoot woman reads a book along the water.,A woman isn't wearing any shoes.,0,1631
A child in front of his own reflection turning towards the camera and smiling.,a boy smiles for the camera,1,1639
A child in front of his own reflection turning towards the camera and smiling.,an angry child rides a horse,2,1639
A child in front of his own reflection turning towards the camera and smiling.,a child smiles for the camera,0,1639
Young girl playing with streamers.,The girl is outside.,1,1711
Young girl playing with streamers.,A girl playing.,0,1711
Young girl playing with streamers.,There is a boy playing basketball.,2,1711
"The girl is twirling long, colorful streamers.",The girl is twirling streamers.,0,1712
"The girl is twirling long, colorful streamers.",The boy is twilring streamers.,2,1712
"The girl is twirling long, colorful streamers.",The girl is twirling rainbow streamers.,1,1712
A man in skiing gear is airborne.,A naked man is airborne.,2,1717
A man in skiing gear is airborne.,A man in skiing gear.,0,1717
A man in skiing gear is airborne.,A man is jumping while on his skis.,1,1717
A skier in colorful clothes midair in a wintry scene.,The skier is sitting on the bench.,2,1719
A skier in colorful clothes midair in a wintry scene.,The skier will sky to the lodge to get hot chocolate.,1,1719
A skier in colorful clothes midair in a wintry scene.,The skier is dressed warm for the winter conditions.,0,1719
A youngster plays with a toy.,toys played some person,1,1737
A youngster plays with a toy.,youths plays with toys,0,1737
A youngster plays with a toy.,person walking on beach,2,1737
Man hanging out of the window of a train wearing a black jacket and hat.,The man is the copilot of the airplane.,2,1754
Man hanging out of the window of a train wearing a black jacket and hat.,The man is on a train.,0,1754
Man hanging out of the window of a train wearing a black jacket and hat.,The man is the train conductor.,1,1754
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",One adult is hurt because of the ride they took.,1,1774
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are playing basketball.,2,1774
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a rodeo.,0,1774
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",One is trying to fix his arm injury so they can co on another ride,1,1775
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",A young adult helps another after he is injured by a bull at a rodeo.,1,1775
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",a rodeo is a safe place for all occupants,2,1775
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",the one mending the arm is a trained medic,1,1776
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a horse event.,0,1776
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",there are people at the rodeo,0,1776
Four children climbing up a snow covered hill.,Four children climb up an Icy palace in the Norwegian countryside,2,1790
Four children climbing up a snow covered hill.,Four children are climbing in the snow of a covered hill,1,1790
Four children climbing up a snow covered hill.,Four children are climbing on a snowy hill,0,1790
A band playing music together.,The band formed last year.,1,1876
A band playing music together.,The band is currently taking a break and there is no music.,2,1876
A band playing music together.,The group works together to play music.,0,1876
A man surfing on a big green wave.,A man is participating in a surfing contest.,1,1877
A man surfing on a big green wave.,A man is on a surfboard.,0,1877
A man surfing on a big green wave.,A man on the beach is holding a surfboard.,2,1877
"Two young boys, dressed in full white martial arts uniforms with black, red, and white belts, are demonstrating a high kick move.",Each boy is very strong in the martial arts discipline.,1,1909
"Two young boys, dressed in full white martial arts uniforms with black, red, and white belts, are demonstrating a high kick move.",Two young girls are performing karate and demonstrating a chop.,2,1909
"Two young boys, dressed in full white martial arts uniforms with black, red, and white belts, are demonstrating a high kick move.",The boys know martial arts.,0,1909
Four girls playing soccer on a field as their coach looks on.,The girls hate soccer.,2,1913
Four girls playing soccer on a field as their coach looks on.,The girls are good at soccer.,1,1913
Four girls playing soccer on a field as their coach looks on.,The girls are on a team.,0,1913
A man in a blue shirt preparing to take a picture of figurines on a small red table.,He is arranging figurines before he takes a photo of them.,1,1919
A man in a blue shirt preparing to take a picture of figurines on a small red table.,A plastic toy dancing on its own.,2,1919
A man in a blue shirt preparing to take a picture of figurines on a small red table.,The man in the blue shirt is carrying a box that he just packed all the figurines in.,2,1919
A woman and some children standing on the pavement looking at a fountain that is frozen.,A woman and her children eating dinner at their home.,2,1953
A woman and some children standing on the pavement looking at a fountain that is frozen.,A woman and her children are looking at a frozen fountain.,1,1953
A woman and some children standing on the pavement looking at a fountain that is frozen.,A woman and some children are outdoors.,0,1953
A panel of men and women attending a conference.,people attend conference,0,1990
A panel of men and women attending a conference.,a dog sleeps,2,1990
A panel of men and women attending a conference.,people learn about investments,1,1990
Two girls in red jerseys playing soccer,Two girls are playing soccer,0,2012
Two girls in red jerseys playing soccer,An old woman is sleeping.,2,2012
Two girls in red jerseys playing soccer,Two teammates are practicing before the game.,1,2012
A man standing bent over in front of an overpass.,A man is out side.,0,2031
A man standing bent over in front of an overpass.,A man is driving a car.,2,2031
A man standing bent over in front of an overpass.,A man's car has broken down.,1,2031
Some women are looking at items on a table.,Some women are jogging in the park.,2,2049
Some women are looking at items on a table.,The women are examining clothes on the clearance table at the department store.,1,2049
Some women are looking at items on a table.,Women are looking at objects grouped together.,0,2049
A man is smoking at sunset.,Nobody who is in the frame has ever smoked anything in their life.,2,2061
A man is smoking at sunset.,A man is smoking a cigarette at sunset.,1,2061
A man is smoking at sunset.,A person is repairing a mailbox.,2,2061
A man is smoking at sunset.,A man eating.,2,2064
A man is smoking at sunset.,A guy is smoking in the evening.,0,2064
A man is smoking at sunset.,a man smokes,0,2064
A man is spraying something on this drag car.,There is a drag car getting sprayed,0,2089
A man is spraying something on this drag car.,A man is spraying a drag car with soap,1,2089
A man is spraying something on this drag car.,A man is walking away from this drag car,2,2089
"Three young girls posing for a picture in an outdoor amphitheater, surrounded by adults watching a conference.",Some girls are posing.,0,2128
"Three young girls posing for a picture in an outdoor amphitheater, surrounded by adults watching a conference.",The girls are all taking a test.,2,2128
"Three young girls posing for a picture in an outdoor amphitheater, surrounded by adults watching a conference.",Nobody is wearing a hat.,1,2128
"A large, black dog is climbing over a wooden fence surrounded by bushes.",There is a large brick wall keeping the dog in the yard.,2,2138
"A large, black dog is climbing over a wooden fence surrounded by bushes.",A dog is outside.,0,2138
"A large, black dog is climbing over a wooden fence surrounded by bushes.",The dog is climbing the fence to get out of the yard.,1,2138
A man a long gray beard and his partner share a meal at an outdoor restaurant.,The two people paddle their kayaks in the surf.,2,2151
A man a long gray beard and his partner share a meal at an outdoor restaurant.,The couple celebrates the old man's birthday at a restaurant.,1,2151
A man a long gray beard and his partner share a meal at an outdoor restaurant.,The people are dining al fresco.,0,2151
A man and a woman are sharing a meal at an outside restaurant.,a man and a woman are on their first date,1,2152
A man and a woman are sharing a meal at an outside restaurant.,two men are having a meal at an inside dining room,2,2152
A man and a woman are sharing a meal at an outside restaurant.,a man and a woman are eating,0,2152
A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,A man and woman stand on the highway.,0,2163
A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,Two women were riding a motorcycle down a dirt road.,2,2163
A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,The man and woman just got in an accident.,1,2163
a young girl and two friends are playing.,The young girl is studying.,2,2185
a young girl and two friends are playing.,The young girl is human.,0,2185
a young girl and two friends are playing.,The young girl is playing with boys.,1,2185
A young man does exercises in his fencing class.,The man only uses guns.,2,2200
A young man does exercises in his fencing class.,The man is athletic.,1,2200
A young man does exercises in his fencing class.,The man has held a sword.,0,2200
A young child in a red jacket and jeans lays in the snow to make a snow angel.,A child is outdoors.,0,2225
A young child in a red jacket and jeans lays in the snow to make a snow angel.,A child is sitting on a couch.,2,2225
A young child in a red jacket and jeans lays in the snow to make a snow angel.,A child is playing in a blizzard.,1,2225
An elderly woman sits on a park bench under the shade of a tree.,A man sits on a cardboard box under the shade.,2,2243
An elderly woman sits on a park bench under the shade of a tree.,A woman sits on a park bench under the shade.,0,2243
An elderly woman sits on a park bench under the shade of a tree.,A woman is preparing to have lunch in the shade.,1,2243
Man with brown coat and sunglasses wears a blue wig and ball cap.,A tall human with a wig,1,2258
Man with brown coat and sunglasses wears a blue wig and ball cap.,A human with a wig,0,2258
Man with brown coat and sunglasses wears a blue wig and ball cap.,Nobody has a wig,2,2258
A man rests on the terraced steps leading down to the water.,A man sunbathes on steps near the water.,1,2261
A man rests on the terraced steps leading down to the water.,A man bicycles to the water.,2,2261
A man rests on the terraced steps leading down to the water.,A man rests on steps near the water.,0,2261
A man sleeps on the beach after removing his helmet.,A man sleeps by his bike.,1,2263
A man sleeps on the beach after removing his helmet.,A man sleeps outside.,0,2263
A man sleeps on the beach after removing his helmet.,A man sleeps after riding his skateboard.,2,2263
A person dressed as Batman poses for a picture.,a person is about to take a shower,2,2266
A person dressed as Batman poses for a picture.,a person is in costume,0,2266
A person dressed as Batman poses for a picture.,a person is on set of a movie,1,2266
a family crossing a bridge,Parents and their children stop to look down into the raging water.,1,2277
a family crossing a bridge,Several related people move from one location to another.,0,2277
a family crossing a bridge,Several people open presents around a Christmas tree.,2,2277
"A man wearing black shirt with devil looking eyes, holding two big slices of meat.",The man is selling meat.,1,2278
"A man wearing black shirt with devil looking eyes, holding two big slices of meat.",The man wears black shirts and has strange eyes.,0,2278
"A man wearing black shirt with devil looking eyes, holding two big slices of meat.",The woman runs to work.,2,2278
This girl is having so much fun on the swing!,THe girl is sleeping.,2,2309
This girl is having so much fun on the swing!,The girl is having fun,0,2309
This girl is having so much fun on the swing!,THe girl is swinging,1,2309
A man in a pirate costume playing an instrument in a band.,"There is a group of people, maybe a band, with one person dressed as a pirate",1,2311
A man in a pirate costume playing an instrument in a band.,There is a man dressed in pirate costume playing an instrument.,0,2311
A man in a pirate costume playing an instrument in a band.,No pirates here,2,2311
People playing in a gym with a net.,A gym class plays with a net during school.,1,2319
People playing in a gym with a net.,People playing in a gym.,0,2319
People playing in a gym with a net.,A doctor examining a patient.,2,2319
People walking around on a busy sidewalk at night.,People walking around on a sidewalk at night.,0,2326
People walking around on a busy sidewalk at night.,Men walking around on a busy sidewalk at night.,1,2326
People walking around on a busy sidewalk at night.,Dogs walking around on a busy sidewalk at night.,2,2326
The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a girl takes pictures of a sad man,2,2330
The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,There is an old man holding something.,1,2330
